answer_md,category,question,url
"CPF LIFE is a longevity insurance scheme that provides you with a monthly payout for as long as you live. When you join CPF LIFE, your CPF LIFE premium will be paid with your CPF savings. Projected interest earned on your CPF LIFE premium is factored into your monthly payouts from the start.
Your CPF LIFE payouts will be drawn from your CPF LIFE premium first. When your CPF LIFE premium is exhausted, you will then draw your monthly payouts for as long as you live from the interest that you and other CPF LIFE members have accumulated.
The lifelong payouts under CPF LIFE for all members are made possible through this method of interest accumulation. That is why interest does not form part of the amount paid to the beneficiaries of CPF LIFE members when they pass away.
If you pass on before your CPF LIFE premium is exhausted, the CPF LIFE premium balance (if any) together with any remaining CPF savings will be distributed to your loved ones.",policy-faqs,Why is interest earned on my CPF LIFE premium not included as part of the amount paid to my beneficiaries when I pass away?,https://www.cpf.gov.sg/member/infohub/cpf-clarifies/policy-faqs/why-interest-earned-on-cpf-life-premium-not-paid-to-beneficiaries
"Your CPF savings are not affected by Temasek's performance.
Your CPF savings are invested in Special Singapore Government Securities (SSGS), issued and guaranteed by the Singapore Government. The SSGS returns are guaranteed regardless of Temasek's performance over any period.",policy-faqs,Are my CPF savings affected by Temasek's performance?,https://www.cpf.gov.sg/member/infohub/cpf-clarifies/policy-faqs/are-my-cpf-savings-affected-by-temaseks-performance
"CPF interest rates are fair and attractive.
Your CPF savings earn up to 3.5% per year in the Ordinary Account and up to 5% per year in the Special, MediSave and Retirement Accounts on the first $60,000 of combined CPF balances. Members aged 55 and above get an extra 1% on the first $30,000 of their combined CPF balances (i.e. up to 6% per year). You do not bear any investment risk on your CPF savings.
In comparison, citizens in some other countries have to choose their own pension investment plan and expose their retirement savings to market risks. Their retirement nest egg could be affected during a financial crisis or sustained period of low interest rates.
Nevertheless, if you are a financially-savvy member who wishes to invest your CPF savings for higher returns and are willing to bear the investment risk, you may do so through the CPF Investment Scheme.",policy-faqs,How do CPF interest rates compare with other countries' pension systems?,https://www.cpf.gov.sg/member/infohub/cpf-clarifies/policy-faqs/how-do-cpf-interest-rates-compare-with-other-pension-systems
"The CPF system is designed to help all Singaporeans save for retirement. The more you set aside in your CPF for retirement, the higher your monthly CPF payout which you can enjoy starting from your Payout Eligibility Age.
As your personal circumstances, including the means to support yourself financially in retirement besides your CPF savings, could change, it would not be prudent to make significant lump sum CPF withdrawals too far in advance of your retirement.
Meanwhile, you can choose to tap on your CPF savings to meet expenditure needs such as housing.",policy-faqs,Why am I not allowed to withdraw my CPF savings in a lump sum if I have savings above the prevailing Full Retirement Sum before turning age 55?,https://www.cpf.gov.sg/member/infohub/cpf-clarifies/policy-faqs/why-cant-i-withdraw-my-cpf-before-55-if-i-have-the-full-retirement-sum
"Nobody can predict how long anyone will actually live. Therefore, planning how much of your retirement savings to use for living expenses is a dilemma. Spend too much and you might not have enough if you live longer than you thought; spend too little and you might deprive yourself from fully enjoying your hard-earned savings.
With increasing advances in technology and healthcare, you are likely to live longer than your grandparents or parents generation. Therefore, you cannot predict how long you will live by looking at how long your parents or grandparents live. Otherwise, you may underestimate your lifespan and find your savings depleted with many more years to live when you are no longer able to work.
With CPF LIFE, you do not need to worry about being caught in such a situation but have the assurance of having a steady stream of income, no matter what age you live to.",monthly-payouts,Why do I need CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/why-do-i-need-cpf-life-
"You will be automatically included if you are a Singapore Citizen or Permanent Resident born on 1 January 1958 and after, and have at least $60,000 in your CPF retirement savings when you start your monthly payouts.
If you are born between 1 January 1958 and 30 April 1961, and had at least $40,000 in your Retirement Account when you reached 55, you would have to join CPF LIFE.",monthly-payouts,Do I have to join CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/do-i-have-to-join-cpf-life-
"The CPF LIFE Escalating Plan is a suitable option if you want to protect your retirement income from rising prices. Under this plan you'll receive payouts that increase by 2% each year. Although the payouts start lower, they will eventually become higher than the Standard Plan and Basic Plan payouts. The Escalating Plan gives you peace of mind knowing that you can generally maintain your standard of living even as the cost of living goes up during your retirement years.
For example, if you start with a monthly payout of $1,000 when you turn 65, it will increase by 2% each year and reach around $1,500 when you are 85. The 2% increase takes place every year in the same month that you receive your first payout.
Under this plan, all your Retirement Account savings will be deducted as CPF LIFE premium when you join CPF LIFE, which can be anytime from 65 to 70.
Your CPF LIFE monthly payouts will first be paid from your CPF LIFE premium. When your CPF LIFE premium is depleted, you will continue to receive the monthly payouts from the interest that you and other CPF LIFE members have accumulated, no matter how long you live.",monthly-payouts,How does the CPF LIFE Escalating Plan work?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-escalating-plan-work-
"CPF LIFE Escalating Plan payouts are not specifically matched to actual inflation in each year so that the increase in payouts is predictable and stable.
By fixing the increase at 2% per year, CPF LIFE can provide some protection against inflation while keeping premiums at a more affordable level. Additionally, the 2% increase is meant to be a conservative estimate of the average inflation rate over time, which can vary from year to year.",monthly-payouts,Why is the increase in CPF LIFE Escalating Plan payouts fixed at 2% per year and not matched to actual inflation rate?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/why-is-the-increase-in-cpf-life-escalating-plan-payouts-fixed-at
"When CPF LIFE Basic Plan was first introduced in 2009, it was better than the previous default monthly payout scheme which did not provide payouts for life. However, to better suit Singaporeans's needs, we have since introduced Standard and Escalating plans.
Basic Plan is kept as a legacy plan. Monthly payouts under the Basic Plan start lower than Standard Plan and will get progressively lower when your combined CPF balances eventually fall below $60,000 (/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-basic-plan-work-).
If you're on the Basic Plan or other legacy plans such as the Balanced, Plus and Income plans, you can consider switching to the Escalating Plan (/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-escalating-plan-work†to benefit from increasing payouts or the [Standard Plan](/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-standard-plan-work-) to enjoy higher and level payouts. You can†make the switch at (https://www.cpf.gov.sg/eSvc/Web/Schemes/ChangeLifePlan/CoverPage) before age 80.
Do note that once you have switched to the Standard or Escalating Plan, you'll not be able to switch back to a legacy plan.",monthly-payouts,I know that CPF LIFE Basic Plan is a legacy option. But why did Government introduce Basic Plan previously? Can I switch to another plan?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/i-know-that-cpf-life-basic-plan-is-a-legacy-option
"If you're currently on any of the legacy plans such as the Basic, Balanced, Plus, or Income plans, you have the option to switch to either the[Escalating Plan](/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-escalating-plan-work-)†or [Standard Plan](/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-standard-plan-work-).†Switching to the Escalating Plan will give you increasing payouts over time, while switching to the Standard Plan will give you higher and level payouts. You can[make the switch](https://www.cpf.gov.sg/eSvc/Web/Schemes/ChangeLifePlan/CoverPage) before age 80.
It is also important to note that once you have switched to the Standard or Escalating Plan, you cannot switch back to a legacy plan.",monthly-payouts,"Can I switch from a legacy plan (Basic, Balanced, Plus or Income Plan) to the Standard or Escalating Plan?",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-switch-from-a-legacy-plan-to-standard-or-escalating-plan
